"Strand","Number",""
"Strand","Patterns and Relationships",""
"Strand","Shape and Space",""
"Strand","Statistics and Probability",""
"Outcome","N6.1","Demonstrate understanding of place value including:<ul>
                        <li>greater than one million</li>
                        <li>less than one thousandth</li>
                
                    </ul>
                    with and without technology."
"Outcome","N6.2","Demonstrate understanding of factors and multiples (concretely, pictorially, and symbolically) including:
                    <ul>
                        <li>determining factors and multiples of numbers less than 100</li>
                        <li>relating factors and multiples to multiplication and division</li>
                        <li>determining and relating prime and composite numbers.</li>
                    </ul>"
"Outcome","N6.3","Demonstrate understanding of the order of operations on whole numbers (excluding exponents) with and without technology."
"Outcome","N6.4","Extend understanding of multiplication and division to decimals (1-digit whole number multipliers and 1-digit natural number divisors)."
"Outcome","N6.5","Demonstrate understanding of percent (limited to whole numbers to 100) concretely, pictorially, and symbolically."
"Outcome","N6.6","Demonstrate understanding of integers concretely, pictorially, and symbolically."
"Outcome","N6.7","Extend understanding of fractions to improper fractions and mixed numbers."
"Outcome","N6.8","Demonstrate an understanding of ratio concretely, pictorially, and symbolically."
"Outcome","N6.9","Research and present how First Nations and Métis peoples, past and present, envision, represent, and use quantity in their lifestyles and worldviews."
"Outcome","P6.1","Extend understanding of patterns and relationships in tables of values and graphs."
"Outcome","P6.2","Extend understanding of preservation of equality concretely, pictorially, physically, and symbolically."
"Outcome","P6.3","Extend understanding of patterns and relationships by using expressions and equations involving variables."
"Outcome","SS6.1","Demonstrate understanding of angles including:
                    <ul>
                        <li>identifying examples classifying angles</li>
                        <li>estimating the measure</li>
                        <li>determining angle measures in degrees</li>
                        <li>drawing angles</li>
                        <li>applying angle relationships in triangles and quadrilaterals.</li>
                    </ul>"
"Outcome","SS6.2","Extend and apply understanding of perimeter of polygons, area of rectangles, and volume of right rectangular prisms (concretely, pictorially, and symbolically) including:
                    
                    <ul>
                        <li>relating area to volume</li>
                        <li>comparing perimeter and area</li>
                        <li>comparing area and volume</li>
                        <li>generalizing strategies and formulae</li>
                        <li>analyzing the effect of orientation</li>
                        <li>solving situational questions.</li>
                    </ul>"
"Outcome","SS6.3","Demonstrate understanding of regular and irregular polygons including:
                    <ul>
                        <li>classifying types of triangles</li>
                        <li>comparing side lengths</li>
                        <li>comparing angle measures</li>
                        <li>differentiating between regular and irregular polygons</li>
                        <li>analyzing for congruence.</li>
                    </ul>"
"Outcome","SS6.4","Demonstrate understanding of the first quadrant of the Cartesian plane and ordered pairs with whole number coordinates."
"Outcome","SS6.5","Demonstrate understanding of single, and combinations of, transformations of 2-D shapes (with and without the use of technology) including:
                    <ul>
                        <li>identifying</li>
                        <li>describing</li>
                        <li>performing.</li>
                    </ul>"
"Outcome","SP6.1","Extend understanding of data analysis to include:
                    <ul>
                        <li>line graphs</li>
                        <li>graphs of discrete data</li>
                        <li>data collection through questionnaires, experiments, databases, and electronic media</li>
                        <li>interpolation and extrapolation.</li>
                    </ul>"
"Outcome","SP6.2","Demonstrate understanding of probability by:
                    <ul>
                        <li>determining sample space</li>
                        <li>differentiating between experimental and theoretical probability</li>
                        <li>determining the theoretical probability</li>
                        <li>determining the experimental probability</li>
                        <li>comparing experimental and theoretical probabilities.</li>
                    </ul>"
