"Goal","Interactions and Interdependence",""
"Goal","Dynamic Relationships",""
"Goal","Power and Authority",""
"Goal","Resources and Wealth",""
"Outcome","IN6.1","Evaluate and represent personal beliefs and values by determining how culture and place influence them."
"Outcome","IN6.2","Examine the social and cultural diversity that exists in the world, as exemplified in Canada and a selection of countries bordering the Atlantic Ocean."
"Outcome","IN6.3","Develop an understanding that global interdependence impacts individual daily life in Canada and a selection of countries bordering the Atlantic Ocean."
"Outcome","IN6.4","Explore aspects of cultural change over time, including:<ul><li>reasons for cultural change</li>
                    <li>examples of cultural change</li>
                    <li>how cultural change affects youth</li>
                    <li>how youth respond to cultural change.</li></ul>"
"Outcome","DR6.1","Analyze the impact of the diversity of natural environments on the ways of life in Canada and a selection of countries bordering the Atlantic Ocean."
"Outcome","DR6.2","Analyze ways in which the land affects human settlement patterns and social organization, and ways in which human habitation affects land."
"Outcome","DR6.3","Appraise the strategies human societies have used to orient themselves within time and place in the natural environment."
"Outcome","DR6.4","Relate contemporary issues to their historical origins in Canada and a selection of countries bordering the Atlantic Ocean."
"Outcome","PA6.1","Examine the relationship between an individual's power and authority and the power and authority of others."
"Outcome","PA6.2","Analyze the distribution of power and privilege in Canada and a selection of countries bordering the Atlantic Ocean."
"Outcome","PA6.3","Explore the effects of injustice or abuse of power on its victims, including victims of the Holocaust."
"Outcome","RW6.1","Examine and analyze factors that contribute to quality of life, including material and non-material factors."
"Outcome","RW6.2","Contribute to initiating and guiding change in local and global communities regarding environmental, social, and economic sustainability."
