"Goal","Active Living",""
"Goal","Skillful Movement",""
"Goal","Relationships",""
"Outcome","PE6.1","Create and implement a personal health-related fitness plan targeting the health-related fitness component of cardiovascular endurance that involves setting a goal for improvement, applies the F.I.T.T. principle (Frequency, Intensity, Type of activity, and Time), and incorporates daily moderate to vigorous movement activity."
"Outcome","PE6.2","Demonstrate an understanding of the impact of inactivity on body composition and how to make healthy choices for a balanced self, including regular participation in movement activity, that effectively and safely affect (maintain, increase, decrease) body fat composition."
"Outcome","PE6.3","Apply self-selected strategies for effectively and safely improving muscular endurance and flexibility, and apply, with guidance, an understanding of how to effectively and safely improve muscular strength."
"Outcome","PE6.4","Demonstrate, through participation in movement activities, an understanding of the skill-related components of fitness (power, agility, speed, reaction time, balance, and coordination) and how they connect with the health-related components of fitness (cardiovascular endurance, muscular endurance, muscular strength, flexibility, and body composition) in the development of each other."
"Outcome","PE6.5","Demonstrate a progression towards control in complex movement skills that combine locomotor (traveling) skills, non-locomotor (non-traveling) skills, and manipulative (moving objects) skills as they apply to games and sports (e.g., lay-up in basketball, spike in volleyball, dribbling to a shot in soccer, gathering a grounder and throwing to a base in softball, stick handling to a shot in floor hockey, receiving and sending the double balls in double ball)."
"Outcome","PE6.6","Express and apply, with guidance, performance cues (visual contact, point of release or contact, absorption) to enhance manipulative (moving objects) skills:<ul><li>to the utilization level of skill when punting.</li></ul>"
"Outcome","PE6.7","Explore, apply, and communicate the biomechanical concepts and principles of force production, force absorption, and resistance as a means to enhance independence in learning motor skills involving locomotor (traveling), non-locomotor (non-traveling), and manipulative (moving objects) skills."
"Outcome","PE6.8","Analyze and apply, with guidance, movement concepts to support skill development while participating in:<ul><li>target games (e.g., effort qualities in backswing and wrist action on ""out-turn"" in curling)</li>
					<li>invasion/territorial games (e.g., offensive pace to an ""open space"").</li></ul>"
"Outcome","PE6.9","Make situational decisions (individual, partner, and team) related to the selection of skills, tactics, and strategies to enhance individual and team performance while participating in:<ul><li>target games (e.g., bowling, curling, golf, bocce ball, archery)</li>
					<li>invasion/territorial games (e.g., basketball, touch football, soccer, team handball, soft lacrosse, floor hockey, ultimate frisbee)</li>
					<li>low-organizational, inventive, and co-operative games (e.g., capture the flag, prisoner's base, four goal game).</li></ul>"
"Outcome","PE6.10","Apply controlled use of selected movement skills and variations (i.e., locomotor, non-locomotor, and manipulative skills) as well as safe and environmentally friendly behaviours while participating in a variety of:<ul><li>alternate environment activities (e.g., skating, cross-country skiing, downhill skiing, snowshoeing, roping, cycling, hiking, kayaking, aquatics, tobogganing, orienteering)</li>
					<li>body management activities including dance and educational gymnastics, as well as others (e.g., pilates, wrestling, skipping, track and field, yoga, aerobics).</li></ul>"
"Outcome","PE6.11","Demonstrate the ability to individually carry out a teacher-assigned or self-selected portion of a cooperatively planned class activity that focuses on engaging others and enhancing their level of participation in movement activity."
"Outcome","PE6.12","Analyze the attributes (e.g., height, natural speed of movement, rhythmical sense) and limitations (e.g., physical development, motor disabilities, visual impairments) of self and others as source of information for making decisions related to participation of self and others in movement activity as well as possible career choice implications."
"Outcome","PE6.13","Analyze and apply safety guidelines and rules that apply to the target games, invasion/territorial games, and alternate environment activities to develop an appreciation of their impact on self and others."
"Outcome","PE6.14","Apply personally developed plan for progressing through the five levels of a social skills continuum that begins with irresponsible behaviour and progresses through self-control, involvement, self-responsibility, and caring for others to support personal growth in making positive connections to others, while participating in movement activities."
"Outcome","PE6.15","Examine, evaluate, and represent the historical and present impact of our World neighbours on the development of movement activity options as a means of supporting the well-being of self and others."
