"Goal","Comprehend and Respond"," Students will develop their abilities to view, listen to, read, comprehend, and respond to a variety of contemporary and traditional grade-level-appropriate texts in a variey of forms (oral, print and other media) from First Nations, Metis, and other cultures for a variety of purposes including for learning, interest, and enjoyment."
"Goal","Compose and Create"," Students will develop their abilities to speak, write, and use other forms of representation to explore and present thoughts, feelings, and experiences in a variety of forms for a variety of purposes and audiences."
"Goal","Assess and Reflect on Language Abilities"," Students will develop their abilities to assess and reflect on their own language skills, discuss the skills of effective viewers, listeners, readers, representers, speakers, and writers, and set goals for future improvement."
"Goal","Units",""
"Context","Communicative",""
"Context","Environmental and Technological",""
"Context","Imaginative and Literary",""
"Context","Personal and Philosophical",""
"Context","Social, Cultural, and Historical",""
"Outcome","CR6.1","View, listen to, read, comprehend, and respond to a variety of texts that address identity (e.g., Growing Up), social responsibility (e.g., Going the Distance), and efficacy (e.g., Making Our Community More Peaceful)."
"Outcome","CR6.2","Select and use appropriate strategies to construct meaning before (e.g., considering what they know and need to know about topic), during (e.g., making connections to prior knowledge and experiences), and after (e.g., drawing conclusions) viewing, listening, and reading."
"Outcome","CR6.3","<p>Use pragmatic (e.g., function and purpose of texts), textual (e.g., form/genre, sequence of ideas), syntactic (e.g., word order and emphasis on particular words), semantic/lexical/ morphological (e.g., capture particular aspect of intended meaning), graphophonic (e.g., sound-symbol patterns and relationships), and other cues (e.g., the speaker's non-verbal cues) to construct and confirm meaning.</p>
                    <p>NOTE: Italicized text refers to those indicators that are emphasized at this grade level.</p>"
"Outcome","CR6.4","View, respond, and demonstrate comprehension of visual and multimedia grade-appropriate texts including traditional and contemporary texts from First Nations, Métis, and other cultures containing special features (e.g., the visual components of magazines, newspapers, websites, comic books, broadcast media, video, and advertising)."
"Outcome","CR6.5","Listen purposefully to understand, respond, and analyze oral information and ideas from a range of texts including narratives, instructions, oral explanations and reports, and opinions."
"Outcome","CR6.6","Read and demonstrate comprehension and interpretation of grade-appropriate texts including traditional and contemporary prose fiction, poetry, and plays from First Nations, Métis, and other cultures."
"Outcome","CR6.7","Read independently and demonstrate comprehension of a variety of information texts with some specialized language including grade level instructional materials, non-fiction books, reports and articles from magazines and journals, reference materials, and written instructions."
"Outcome","CR6.8","Read grade 6 appropriate texts to increase fluency (120-160 wcpm orally; 160-210 silently) and expression."
"Outcome","CC6.1","Create various visual, multimedia, oral, and written texts that explore identity (e.g., Your Choices), social responsibility (e.g., Looking for Answers), and efficacy (e.g., Systems for Living)."
"Outcome","CC6.2","Select and use the appropriate strategies to communicate meaning before (e.g., identifying purpose and audience), during (e.g., acknowledging sources), and after (e.g., revising to enhance clarity) speaking, writing, and other representing activities."
"Outcome","CC6.3","Use pragmatic (e.g., function and purpose), textual (e.g., paragraphs), syntactic (e.g., complete sentences with appropriate subordination and modification), semantic/lexical/morphological (e.g., figurative words), graphophonic (e.g., spelling strategies), and other cues (e.g., appropriate volume and intonation) to construct and to communicate meaning.<i> NOTE: Italicized text refers to those indicators that are emphasized at this grade level.</i>   "
"Outcome","CC6.4","Create and present a variety of representations that communicate ideas and information to inform or persuade and to entertain an audience, including illustrations, diagrams, posters, displays, and cartoons."
"Outcome","CC6.5","Use oral language to interact appropriately with others in pairs, and small and large group situations (e.g., asking questions to explore others' ideas and viewpoints, discussing and comparing ideas and opinions, completing tasks and contributing to group success)."
"Outcome","CC6.6","Use oral language appropriately to express a range of information and ideas in formal and informal situations including presenting an oral report based on research, a demonstration, and a short dramatization."
"Outcome","CC6.7","Write to describe a place; to narrate an incident from own experience in a multi-paragraph composition and in a friendly letter; to explain and inform in multi-step directions and a short report explaining a problem and providing a solution; and, to persuade to support a viewpoint or stand."
"Outcome","CC6.8","Experiment with a variety of text forms (e.g., a peer interview, presentation at an assembly, poem, letter to parents, short review, poster, tableau, graphic organizer) and techniques (e.g., surprise ending)."
"Outcome","CC6.9","Prepare a teacher-guided inquiry report related to a stand on a topic, theme, or issue studied in English language arts."
"Outcome","AR6.1","Consider which viewing, listening, reading, representing, speaking, and writing strategies work best for each task and situation."
"Outcome","AR6.2","Appraise own viewing, listening, reading, representing, speaking, and writing skills and strategies, and set goals for improvement."
"Outcome","AR6.3","Appraise own and others' work for clarity."
"Outcome","Going the Distance",""
"Outcome","Growing Up",""
"Outcome","Messages",""
"Outcome","Peace And Conflict",""
"Outcome","Taking Flight",""
"Outcome","Tales - Heroes, Deeds, and Wonders",""
