"Goal","Understanding, Skills, and Confidences",""
"Goal","Decision Making",""
"Goal","Action Planning",""
"Outcome","USC6.1","Analyze the factors that influence the development of personal standards and identity, and determine the impact on healthy decision making (including cultural norms, societal norms, family values, peer pressures, mass media, traditional knowledge, white privilege, legacy of colonization, and heterosexual privilege)."
"Outcome","USC6.2","Appraise the importance of establishing/maintaining healthy relationships with people from diverse backgrounds who may or may not express differing values, beliefs, standards, and/or perspectives (i.e., people of various ages, cultures, socio-economic status, faiths, family structures, sexual orientations, and cognitive/physical abilities)."
"Outcome","USC6.3","Demonstrate an understanding of how non-curable and serious but treatable infections, including HIV and Hepatitis C infection, are transmitted and how these infections influence the health (i.e., physical, mental, emotional, spiritual) and the identities of self, family, and community."
"Outcome","USC6.4","Assess and demonstrate strategies used to identify and make healthy decisions in stressful situations."
"Outcome","USC6.5","Analyze the influences (e.g., cultural, social) on perceptions of and personal standards related to body image, and the resulting impact on the identities and the well-being of self, family, and community."
"Outcome","USC6.6","Develop and demonstrate the knowledge, skills, and personal standards necessary for establishing and supporting safe practices and environments related to various community activities."
"Outcome","USC6.7","Assess how health promotions and advertising (related to but not limited to tobacco, alcohol, diabetes, and HIV) influence personal standards and behaviours and determine how and why certain groups of consumers (e.g., youth as 'replacement' smokers) are targeted."
"Outcome","DM6.8","Assess the role of personal standards in decision making related to healthy relationships, non-curable infections, stress management, body image, safety, and health promotions."
"Outcome","DM6.9","Examine health opportunities and challenges to establish personal goal statements related to healthy relationships, non-curable infections, stress management, body image, safety, and health promotions."
"Outcome","AP6.10","Design and implement (with guidance) two six-day action plans that reflect affirmation of personal standards related to decision making, relationships, non-curable infections, stress management, body image, safety, and health promotions."
