"Goal","Life Science: Diversity of Living Things",""
"Goal","Physical Science: Understanding Electricity",""
"Goal","Physical Science: Principles of Flight",""
"Goal","Earth and Space Science: Our Solar System",""
"Outcome","DL6.1","Recognize, describe, and appreciate the diversity of living things in local and other ecosystems, and explore related careers."
"Outcome","DL6.2","Examine how humans organize understanding of the diversity of living things."
"Outcome","DL6.3","Analyze the characteristics and behaviours of vertebrates (i.e., mammals, birds, reptiles, amphibians, and fish) and invertebrates."
"Outcome","DL6.4","Examine and describe structures and behaviours that help:
                    <ul>
                        <li>individual living organisms survive in their environments in the short term</li>
                        <li>species of living organisms adapt to their environments in the long term.</li>
                    </ul>"
"Outcome","DL6.5","Assess effects of micro-organisms on past and present society, and contributions of science and technology to human understanding of micro-organisms."
"Outcome","EL6.1","Assess personal, societal, economic, and environmental impacts of electricity use in Saskatchewan and propose actions to reduce those impacts."
"Outcome","EL6.2","Investigate the characteristics and applications of static electric charges, conductors, insulators, switches, and electromagnetism."
"Outcome","EL6.3","Explain and model the properties of simple series and parallel circuits."
"Outcome","FL6.1","Examine connections between human fascination with flight and technologies and careers based on the scientific principles of flight."
"Outcome","FL6.2","Investigate how the forces of thrust, drag, lift, and gravity act on living things and constructed devices that fly through the air."
"Outcome","FL6.3","Design a working prototype of a flying object that meets specified performance criteria."
"Outcome","SS6.1","Research and represent the physical characteristics of the major components of the solar system, including the sun, planets, moons, asteroids, and comets."
"Outcome","SS6.2","Assess the efficacy of various methods of representing and interpreting astronomical phenomena, including phases, eclipses, and seasons."
"Outcome","SS6.3","Evaluate past, current, and possible future contributions of space exploration programs including space probes and human spaceflight, which support living and working in the inner solar system."
